Complexity,Loss,Equation
1,1.5189415e11,"2.6055202e7"
3,1.5189151e11,"x1 + 2.6055146e7"
5,1.0662693e11,"(x0 * -996143.25) + 2.67185e7"
6,9.910435e10,"(cos(x0) * 1.7833991e6) + 2.4684624e7"
7,8.704969e10,"(exp(exp(x0)) * -76018.92) + 2.6662314e7"
8,5.5183745e10,"(exp(x0 * 11.653945) * -11.637097) + 2.626669e7"
9,5.1491262e10,"(exp(exp(x0 + 1.6814243)) * -0.6484172) + 2.6226198e7"
10,4.2822525e10,"(exp((x0 + -0.80486107) * 31.202364) * -6050.427) + 2.6244546e7"
12,4.2487402e10,"((exp((x0 * 195.29666) + -181.65866) * -468.21768) * x0) + 2.6196612e7"
13,2.6899239e10,"(inv((x1 + 40.24166) * -2696.6675) * exp(x0 * 27.575022)) + 2.6199304e7"
